X,Y,incident_id,agency,incident_address,zip_code,priority,callcode,calldescription,category,call_timestamp,precinct_sca,respondingunit,officerinitiated,intaketime,dispatchtime,traveltime,totalresponsetime,time_on_scene,totaltime,neighborhood,block_id,council_district,longitude,latitude,oid
-82.9572562549999,42.4291089450001,201626400224,DPD ,Kelly Rd & Morang Dr,48224,3,817036,MISCELLANEOUS TRAFFIC,MISCTRAF,2016/09/20 12:03:38+00,0907,,No,1.9,,,,,,Denby,261635009004003.0,4.0,-82.9572562553324,42.4291089445414,70
-83.06016256,42.361411827,201626400227,DPD ,Beaubien St & Frederick Douglass Ave,48202,5,376050,INVESTIGATE AUTO,INVAUTO ,2016/09/20 12:02:28+00,36B ,,Yes,0.0,0.0,0.0,0.0,34.2,34.2,Cultural Center,261635180002026.0,5.0,-83.0601625602372,42.3614118271214,71
-83.2427963869999,42.436700359,201626400235,DPD ,Kentfield St & Pembroke Ave,48219,2,TS    ,TRAFFIC STOP,TRF STOP,2016/09/20 12:08:12+00,82B ,CER2055,Yes,0.0,0.0,0.0,0.0,12.0,12.1,Evergreen Lahser 7/8,261635410001003.0,1.0,-83.2427963868439,42.4367003591571,72
-82.977984851,42.440798283,201626400236,DPD ,Anvil St & Manning St,48205,3,843031,WELL BEING CHECK,WBC     ,2016/09/20 12:08:35+00,92A ,,No,1.7,20.6,6.2,29.6,30.8,60.4,Franklin,261635034002007.0,3.0,-82.9779848513939,42.4407982825576,73
-83.064294404,42.3653903750001,201626400238,DPD ,Brush St & E I 94 Service Drive,48202,2,TS    ,TRAFFIC STOP,TRF STOP,2016/09/20 12:08:42+00,36B ,DGD1744,Yes,0.0,0.0,0.0,0.0,14.9,14.9,Cultural Center,261635180002017.0,5.0,-83.0642944041126,42.3653903747472,74
-83.0713424159999,42.3641892100001,201626400244,DPD ,Cass Ave & York St,48202,3,W4807 ,START OF SHIFT INFORMATION,STRTSHFT,2016/09/20 12:12:38+00,36A ,,Yes,0.0,0.0,0.0,0.0,0.3,0.3,Tech Town,261635339003035.0,5.0,-83.0713424164462,42.3641892103791,75
-83.0348622939999,42.348577543,201626400246,DPD ,Gratiot Ave & E Vernor Hwy,48207,2,842020,ONE DOWN OR OVER THE WHEEL,OD      ,2016/09/20 12:14:29+00,76B ,,No,0.0,147.6,0.0,147.7,21.7,169.4,Eastern Market,261635189001062.0,5.0,-83.0348622935802,42.348577543358,76
-83.060067827,42.3546369200001,201626400247,DPD ,John R St & Garfield St,48201,4,361040,LARCENY REPORT,LARCREPT,2016/09/20 12:14:49+00,39A ,,No,2.8,11.4,12.8,27.1,10.2,37.3,Medical Center,261635175002002.0,5.0,-83.0600678272001,42.3546369199115,77
-83.111560213,42.3003668800001,201626400248,DPD ,,     ,2,TS    ,TRAFFIC STOP,TRF STOP,2016/09/20 12:15:51+00,    ,CHP6178,Yes,0.0,0.0,0.0,0.0,7.2,7.2,,,,-83.1115602131719,42.3003668801043,78
-83.137479339,42.3368173600001,201626400251,DPD ,Chopin St & McGraw St,48210,3,351035,BURGLARY BUSINESS J/H,BBURGJH ,2016/09/20 12:16:26+00,402A,,No,2.9,175.8,10.0,188.8,84.1,272.9,Claytown,261635263001002.0,6.0,-83.1374793386658,42.336817360039,79
-83.129562031,42.357390433,201626400266,DPD ,Northfield St & Spokane St,48204,1,343010,FELONIOUS ASSAULT IP,FA IP   ,2016/09/20 12:22:54+00,106B,,No,0.0,1.3,2.5,5.8,92.7,98.5,Midwest,261635337001002.0,6.0,-83.1295620309153,42.357390433192,80
-83.21232886,42.4373735770001,201626400268,DPD ,Biltmore St & Pembroke Ave,48235,3,817036,MISCELLANEOUS TRAFFIC,MISCTRAF,2016/09/20 12:24:31+00,0804,,No,3.6,191.5,0.0,195.2,80.4,275.5,Greenfield,261635401003004.0,2.0,-83.2123288596568,42.4373735772464,81
